"","class","x","y","z"
"1810","FuzzyClusters",53.98,23.99,"2"
"1811","FuzzyClusters",40.13,39.76,"2"
"1812","FuzzyClusters",43.05,31.11,"2"
"1813","FuzzyClusters",30.4,25.55,"2"
"1814","FuzzyClusters",31.94,36.03,"2"
"1815","FuzzyClusters",48.16,26.84,"2"
"1816","FuzzyClusters",43.43,28.97,"2"
"1817","FuzzyClusters",39.68,30.66,"2"
"1818","FuzzyClusters",32.99,39.8,"2"
"1819","FuzzyClusters",35.12,41.63,"2"
"1820","FuzzyClusters",63.32,41.54,"2"
"1821","FuzzyClusters",42.06,38.81,"2"
"1822","FuzzyClusters",51.97,32.97,"2"
"1823","FuzzyClusters",52.07,46.92,"2"
"1824","FuzzyClusters",51.87,48.39,"2"
"1825","FuzzyClusters",47.65,41.96,"2"
"1826","FuzzyClusters",33.73,28.02,"2"
"1827","FuzzyClusters",35.91,20.64,"2"
"1828","FuzzyClusters",51.76,31.74,"2"
"1829","FuzzyClusters",33.22,25,"2"
"1830","FuzzyClusters",49.75,32.47,"2"
"1831","FuzzyClusters",40.2,25.05,"2"
"1832","FuzzyClusters",41.41,38.29,"2"
"1833","FuzzyClusters",37.89,49.71,"2"
"1834","FuzzyClusters",42.93,38.68,"2"
"1835","FuzzyClusters",52.89,36.68,"2"
"1836","FuzzyClusters",49.08,30.34,"2"
"1837","FuzzyClusters",42.91,49.63,"2"
"1838","FuzzyClusters",52.83,29.28,"2"
"1839","FuzzyClusters",59.9,42.39,"2"
"1840","FuzzyClusters",44.94,44.18,"2"
"1841","FuzzyClusters",49.23,31.44,"2"
"1842","FuzzyClusters",47.5,0.72,"2"
"1843","FuzzyClusters",36.2,27.03,"2"
"1844","FuzzyClusters",36.66,34.11,"2"
"1845","FuzzyClusters",62.28,18.26,"2"
"1846","FuzzyClusters",52.93,18.38,"2"
"1847","FuzzyClusters",51.68,38.16,"2"
"1848","FuzzyClusters",46.33,4.84,"2"
"1849","FuzzyClusters",49.37,32.1,"2"
"1850","FuzzyClusters",46.37,27.58,"2"
"1851","FuzzyClusters",45.38,24.07,"2"
"1852","FuzzyClusters",47.01,30.57,"2"
"1853","FuzzyClusters",35.91,30.49,"2"
"1854","FuzzyClusters",66.61,32.22,"2"
"1855","FuzzyClusters",52.22,31.12,"2"
"1856","FuzzyClusters",42.74,25.18,"2"
"1857","FuzzyClusters",55.92,32.33,"2"
"1858","FuzzyClusters",39.35,42.49,"2"
"1859","FuzzyClusters",60.4,36,"2"
"1860","FuzzyClusters",41.45,43.47,"2"
"1861","FuzzyClusters",24.11,27.53,"2"
"1862","FuzzyClusters",57.28,35.25,"2"
"1863","FuzzyClusters",55.19,34.53,"2"
"1864","FuzzyClusters",38.03,23.31,"2"
"1865","FuzzyClusters",32.31,22.65,"2"
"1866","FuzzyClusters",28.49,46.83,"2"
"1867","FuzzyClusters",42.58,22.55,"2"
"1868","FuzzyClusters",28.49,38.56,"2"
"1869","FuzzyClusters",37.67,27.6,"2"
"1870","FuzzyClusters",46.47,20.11,"2"
"1871","FuzzyClusters",52.7,16.19,"2"
"1872","FuzzyClusters",37.62,19.14,"2"
"1873","FuzzyClusters",43.89,12.45,"2"
"1874","FuzzyClusters",47.29,22.04,"2"
"1875","FuzzyClusters",60.47,38.76,"2"
"1876","FuzzyClusters",36.37,24.77,"2"
"1877","FuzzyClusters",30.56,45.63,"2"
"1878","FuzzyClusters",28.39,28.45,"2"
"1879","FuzzyClusters",50,21.56,"2"
"1880","FuzzyClusters",44.46,27.44,"2"
"1881","FuzzyClusters",51.95,24.7,"2"
"1882","FuzzyClusters",43.73,26,"2"
"1883","FuzzyClusters",48.54,30.54,"2"
"1884","FuzzyClusters",47.02,30.74,"2"
"1885","FuzzyClusters",45.21,36.83,"2"
"1886","FuzzyClusters",39.39,34.86,"2"
"1887","FuzzyClusters",56.36,36.99,"2"
"1888","FuzzyClusters",41.35,31.19,"2"
"1889","FuzzyClusters",51,22.74,"2"
"1890","FuzzyClusters",46.48,34.04,"2"
"1891","FuzzyClusters",61.03,33.71,"2"
"1892","FuzzyClusters",51.4,26.37,"2"
"1893","FuzzyClusters",41.96,26.51,"2"
"1894","FuzzyClusters",44.92,39.86,"2"
"1895","FuzzyClusters",43.87,42.06,"2"
"1896","FuzzyClusters",26.18,31.03,"2"
"1897","FuzzyClusters",60.28,26.47,"2"
"1898","FuzzyClusters",54.57,44.87,"2"
"1899","FuzzyClusters",38.1,18.81,"2"
"1900","FuzzyClusters",48.44,21.79,"2"
"1901","FuzzyClusters",47.18,37.65,"2"
"1902","FuzzyClusters",34.81,21.67,"2"
"1903","FuzzyClusters",58.41,38.04,"2"
"1904","FuzzyClusters",42.77,21.53,"2"
"1905","FuzzyClusters",46.65,34.85,"2"
"1906","FuzzyClusters",48.64,28.36,"2"
"1907","FuzzyClusters",36.05,38.03,"2"
"1908","FuzzyClusters",35.23,41.96,"2"
"1909","FuzzyClusters",44.56,29.07,"2"
"1910","FuzzyClusters",50.18,35.54,"2"
"1911","FuzzyClusters",45.66,13.8,"2"
"1912","FuzzyClusters",51.35,27.64,"2"
"1913","FuzzyClusters",48.01,19.11,"2"
"1914","FuzzyClusters",49.91,31.84,"2"
"1915","FuzzyClusters",32.37,29.87,"2"
"1916","FuzzyClusters",51.09,27.88,"2"
"1917","FuzzyClusters",37.89,28.31,"2"
"1918","FuzzyClusters",40.81,38.56,"2"
"1919","FuzzyClusters",44.06,28.61,"2"
"1920","FuzzyClusters",30.17,46.69,"2"
"1921","FuzzyClusters",44.1,12.86,"2"
"1922","FuzzyClusters",41.04,33.23,"2"
"1923","FuzzyClusters",38.53,49.03,"2"
"1924","FuzzyClusters",40.01,19.78,"2"
"1925","FuzzyClusters",56.21,22.83,"2"
"1926","FuzzyClusters",33.67,26.42,"2"
"1927","FuzzyClusters",43.06,30.83,"2"
"1928","FuzzyClusters",22.75,27.85,"2"
"1929","FuzzyClusters",38.93,25.84,"2"
"1930","FuzzyClusters",40.49,47.34,"2"
"1931","FuzzyClusters",58.88,31.1,"2"
"1932","FuzzyClusters",36.34,39.83,"2"
"1933","FuzzyClusters",37.15,3.25,"2"
"1934","FuzzyClusters",32.42,40.16,"2"
"1935","FuzzyClusters",46.62,41.81,"2"
"1936","FuzzyClusters",55.39,25.66,"2"
"1937","FuzzyClusters",34.21,27.98,"2"
"1938","FuzzyClusters",41.17,45.01,"2"
"1939","FuzzyClusters",57.3,30.37,"2"
"1940","FuzzyClusters",38.84,39.34,"2"
"1941","FuzzyClusters",51.17,35.29,"2"
"1942","FuzzyClusters",48.51,28.58,"2"
"1943","FuzzyClusters",33.25,27.37,"2"
"1944","FuzzyClusters",55.95,17.22,"2"
"1945","FuzzyClusters",52.16,10.76,"2"
"1946","FuzzyClusters",40.61,29.8,"2"
"1947","FuzzyClusters",36.86,32.43,"2"
"1948","FuzzyClusters",41.49,25.47,"2"
"1949","FuzzyClusters",52.33,35.68,"2"
"1950","FuzzyClusters",39.92,34.27,"2"
"1951","FuzzyClusters",28.13,26.93,"2"
"1952","FuzzyClusters",43.71,30.45,"2"
"1953","FuzzyClusters",51.95,41.66,"2"
"1954","FuzzyClusters",34.57,32.83,"2"
"1955","FuzzyClusters",42.86,37.21,"2"
"1956","FuzzyClusters",34,34.37,"2"
"1957","FuzzyClusters",46.05,45.53,"2"
"1958","FuzzyClusters",43.81,30.92,"2"
"1959","FuzzyClusters",44.7,21.09,"2"
"1960","FuzzyClusters",39.4,25.86,"2"
"1961","FuzzyClusters",38.62,32.14,"2"
"1962","FuzzyClusters",52.84,27.58,"2"
"1963","FuzzyClusters",45.95,28.47,"2"
"1964","FuzzyClusters",43.32,35.98,"2"
"1965","FuzzyClusters",16.08,23.02,"2"
"1966","FuzzyClusters",33.52,12.73,"2"
"1967","FuzzyClusters",51.87,48.17,"2"
"1968","FuzzyClusters",41.34,33.92,"2"
"1969","FuzzyClusters",34.13,39.45,"2"
"1970","FuzzyClusters",41.05,27.19,"2"
"1971","FuzzyClusters",41.62,30.84,"2"
"1972","FuzzyClusters",40.49,10.62,"2"
"1973","FuzzyClusters",49.47,33.22,"2"
"1974","FuzzyClusters",58.69,34.21,"2"
"1975","FuzzyClusters",53.89,21.84,"2"
"1976","FuzzyClusters",56.22,25.24,"2"
"1977","FuzzyClusters",42.03,42.09,"2"
"1978","FuzzyClusters",52.6,34.22,"2"
"1979","FuzzyClusters",36.17,27.72,"2"
"1980","FuzzyClusters",43.75,33.32,"2"
"1981","FuzzyClusters",64.67,17.88,"2"
"1982","FuzzyClusters",44.88,40.55,"2"
"1983","FuzzyClusters",42.25,12.82,"2"
"1984","FuzzyClusters",39.74,20.96,"2"
"1985","FuzzyClusters",51.94,36.09,"2"
"1986","FuzzyClusters",63.96,40.37,"2"
"1987","FuzzyClusters",48.71,14.41,"2"
"1988","FuzzyClusters",42.65,35.41,"2"
"1989","FuzzyClusters",63.66,33.07,"2"
"1990","FuzzyClusters",37.99,29.68,"2"
"1991","FuzzyClusters",55.18,24.36,"2"
"1992","FuzzyClusters",41.21,22.3,"2"
"1993","FuzzyClusters",35.8,31.37,"2"
"1994","FuzzyClusters",55.96,40.86,"2"
"1995","FuzzyClusters",28.8,16.6,"2"
"1996","FuzzyClusters",42.23,20.55,"2"
"1997","FuzzyClusters",45.14,44.74,"2"
"1998","FuzzyClusters",41.02,19.13,"2"
"1999","FuzzyClusters",30.26,6.36,"2"
"2000","FuzzyClusters",39.23,30.16,"2"
"2001","FuzzyClusters",73.1,52.02,"3"
"2002","FuzzyClusters",70.11,42.7,"3"
"2003","FuzzyClusters",62.14,74.58,"3"
"2004","FuzzyClusters",73.09,64.67,"3"
"2005","FuzzyClusters",68.4,59.5,"3"
"2006","FuzzyClusters",78.29,66.27,"3"
"2007","FuzzyClusters",72.71,60.48,"3"
"2008","FuzzyClusters",76.24,48.21,"3"
"2009","FuzzyClusters",72.93,40.89,"3"
"2010","FuzzyClusters",73.67,58.13,"3"
"2011","FuzzyClusters",76.84,57.18,"3"
"2012","FuzzyClusters",49.42,50.48,"3"
"2013","FuzzyClusters",74.66,63.76,"3"
"2014","FuzzyClusters",57.87,57.16,"3"
"2015","FuzzyClusters",73.27,67.43,"3"
"2016","FuzzyClusters",81.83,71.62,"3"
"2017","FuzzyClusters",65.97,54.37,"3"
"2018","FuzzyClusters",62.73,52.12,"3"
"2019","FuzzyClusters",69.22,61.29,"3"
"2020","FuzzyClusters",84.27,72.83,"3"
"2021","FuzzyClusters",70.91,44.39,"3"
"2022","FuzzyClusters",71.34,52.46,"3"
"2023","FuzzyClusters",65.08,53.56,"3"
"2024","FuzzyClusters",65.25,63.37,"3"
"2025","FuzzyClusters",68.74,81.45,"3"
"2026","FuzzyClusters",55.7,55.82,"3"
"2027","FuzzyClusters",81.11,56.16,"3"
"2028","FuzzyClusters",66.98,44.67,"3"
"2029","FuzzyClusters",51.99,50.63,"3"
"2030","FuzzyClusters",69.84,66.92,"3"
"2031","FuzzyClusters",67.83,53.29,"3"
"2032","FuzzyClusters",53.87,55.62,"3"
"2033","FuzzyClusters",88.45,56.82,"3"
"2034","FuzzyClusters",59.95,59.44,"3"
"2035","FuzzyClusters",57.82,74.58,"3"
"2036","FuzzyClusters",74.06,71.22,"3"
"2037","FuzzyClusters",79.3,78.08,"3"
"2038","FuzzyClusters",68.24,43.31,"3"
"2039","FuzzyClusters",72.05,55.84,"3"
"2040","FuzzyClusters",60.08,69.39,"3"
"2041","FuzzyClusters",78.6,57.27,"3"
"2042","FuzzyClusters",72.82,62.86,"3"
"2043","FuzzyClusters",70.91,54.16,"3"
"2044","FuzzyClusters",76.73,43.18,"3"
"2045","FuzzyClusters",78.99,49.14,"3"
"2046","FuzzyClusters",63.41,77.08,"3"
"2047","FuzzyClusters",74.33,57.65,"3"
"2048","FuzzyClusters",61.09,76.09,"3"
"2049","FuzzyClusters",90.07,67.81,"3"
"2050","FuzzyClusters",74.11,66.32,"3"
"2051","FuzzyClusters",69.68,74.61,"3"
"2052","FuzzyClusters",65.59,45.69,"3"
"2053","FuzzyClusters",68.01,54.51,"3"
"2054","FuzzyClusters",60.09,57.18,"3"
"2055","FuzzyClusters",70.57,51.7,"3"
"2056","FuzzyClusters",75.25,57.69,"3"
"2057","FuzzyClusters",65.38,41.25,"3"
"2058","FuzzyClusters",62.69,47.25,"3"
"2059","FuzzyClusters",55.34,65.5,"3"
"2060","FuzzyClusters",75.12,62.17,"3"
"2061","FuzzyClusters",73,71.74,"3"
"2062","FuzzyClusters",68.1,56.99,"3"
"2063","FuzzyClusters",65.04,56.54,"3"
"2064","FuzzyClusters",72.33,56.21,"3"
"2065","FuzzyClusters",57.62,51.37,"3"
"2066","FuzzyClusters",56.75,62.24,"3"
"2067","FuzzyClusters",56.99,49.39,"3"
"2068","FuzzyClusters",66.75,64.46,"3"
"2069","FuzzyClusters",77.12,58.4,"3"
"2070","FuzzyClusters",76.43,66.97,"3"
"2071","FuzzyClusters",64.91,71.23,"3"
"2072","FuzzyClusters",82.76,56.25,"3"
"2073","FuzzyClusters",59.69,56.13,"3"
"2074","FuzzyClusters",65.56,59.58,"3"
"2075","FuzzyClusters",63.4,54.07,"3"
"2076","FuzzyClusters",71.43,74.42,"3"
"2077","FuzzyClusters",54.24,59.43,"3"
"2078","FuzzyClusters",80.66,67.82,"3"
"2079","FuzzyClusters",80.86,63.41,"3"
"2080","FuzzyClusters",78.8,72.74,"3"
"2081","FuzzyClusters",69.26,58.12,"3"
"2082","FuzzyClusters",80.41,35.9,"3"
"2083","FuzzyClusters",74.38,65.48,"3"
"2084","FuzzyClusters",78.63,50.7,"3"
"2085","FuzzyClusters",71.6,64.48,"3"
"2086","FuzzyClusters",72.63,51.23,"3"
"2087","FuzzyClusters",50.98,59.15,"3"
"2088","FuzzyClusters",65.16,55.01,"3"
"2089","FuzzyClusters",79.13,57.79,"3"
"2090","FuzzyClusters",70.91,54.11,"3"
"2091","FuzzyClusters",59.03,51.15,"3"
"2092","FuzzyClusters",61.37,61.77,"3"
"2093","FuzzyClusters",65,49.05,"3"
"2094","FuzzyClusters",89.1,57.43,"3"
"2095","FuzzyClusters",68.38,57.3,"3"
"2096","FuzzyClusters",64.2,54.25,"3"
"2097","FuzzyClusters",51.17,75.69,"3"
"2098","FuzzyClusters",52.88,43.18,"3"
"2099","FuzzyClusters",81,60.28,"3"
"2100","FuzzyClusters",62.34,49.12,"3"
"2101","FuzzyClusters",84.59,47.93,"3"
"2102","FuzzyClusters",67.04,59.59,"3"
"2103","FuzzyClusters",49.06,79.69,"3"
"2104","FuzzyClusters",89.74,72.8,"3"
"2105","FuzzyClusters",60.26,61.65,"3"
"2106","FuzzyClusters",65.44,54.12,"3"
"2107","FuzzyClusters",70.86,78.38,"3"
"2108","FuzzyClusters",68.92,57.89,"3"
"2109","FuzzyClusters",56.33,51.98,"3"
"2110","FuzzyClusters",56.4,47.78,"3"
"2111","FuzzyClusters",82.56,54.74,"3"
"2112","FuzzyClusters",63.62,75.01,"3"
"2113","FuzzyClusters",77.45,69.77,"3"
"2114","FuzzyClusters",85.37,65.02,"3"
"2115","FuzzyClusters",62.99,45.27,"3"
"2116","FuzzyClusters",63.64,57.56,"3"
"2117","FuzzyClusters",52.06,69.83,"3"
"2118","FuzzyClusters",87.1,57.18,"3"
"2119","FuzzyClusters",63.19,53.86,"3"
"2120","FuzzyClusters",66.6,60.47,"3"
"2121","FuzzyClusters",57.72,53.62,"3"
"2122","FuzzyClusters",76.68,56.81,"3"
"2123","FuzzyClusters",84.5,81.56,"3"
"2124","FuzzyClusters",72.05,64.96,"3"
"2125","FuzzyClusters",66.4,71.24,"3"
"2126","FuzzyClusters",54.97,60.45,"3"
"2127","FuzzyClusters",83.42,55.9,"3"
"2128","FuzzyClusters",76.22,65.92,"3"
"2129","FuzzyClusters",69.63,46.63,"3"
"2130","FuzzyClusters",80.84,73.22,"3"
"2131","FuzzyClusters",81.69,58,"3"
"2132","FuzzyClusters",65.84,32.8,"3"
"2133","FuzzyClusters",58.97,52.18,"3"
"2134","FuzzyClusters",78.67,56.27,"3"
"2135","FuzzyClusters",76.24,77.9,"3"
"2136","FuzzyClusters",65.49,59.29,"3"
"2137","FuzzyClusters",98.39,46.65,"3"
"2138","FuzzyClusters",47.06,57.42,"3"
"2139","FuzzyClusters",69.93,51.89,"3"
"2140","FuzzyClusters",80.25,45.83,"3"
"2141","FuzzyClusters",83.34,53.99,"3"
"2142","FuzzyClusters",78.78,43.29,"3"
"2143","FuzzyClusters",71.34,84.16,"3"
"2144","FuzzyClusters",77.1,62.5,"3"
"2145","FuzzyClusters",75.02,65.63,"3"
"2146","FuzzyClusters",69.75,49.64,"3"
"2147","FuzzyClusters",62.11,71.66,"3"
"2148","FuzzyClusters",80.95,64.7,"3"
"2149","FuzzyClusters",66.84,51.55,"3"
"2150","FuzzyClusters",67.35,59.03,"3"
"2151","FuzzyClusters",72.28,56.4,"3"
"2152","FuzzyClusters",70.1,71.58,"3"
"2153","FuzzyClusters",52.22,58.53,"3"
"2154","FuzzyClusters",66.16,69.77,"3"
"2155","FuzzyClusters",75.51,66.57,"3"
"2156","FuzzyClusters",81.08,57.31,"3"
"2157","FuzzyClusters",58.56,59.55,"3"
"2158","FuzzyClusters",64.14,52.24,"3"
"2159","FuzzyClusters",48.01,55.52,"3"
"2160","FuzzyClusters",78.97,47.44,"3"
"2161","FuzzyClusters",70.05,56.18,"3"
"2162","FuzzyClusters",77.12,56.72,"3"
"2163","FuzzyClusters",64.93,58.04,"3"
"2164","FuzzyClusters",71.92,82.49,"3"
"2165","FuzzyClusters",78.79,61.31,"3"
"2166","FuzzyClusters",67.89,46.7,"3"
"2167","FuzzyClusters",77.64,68.36,"3"
"2168","FuzzyClusters",75.89,57.41,"3"
"2169","FuzzyClusters",55.68,72.68,"3"
"2170","FuzzyClusters",72.78,60.48,"3"
"2171","FuzzyClusters",47.63,74.46,"3"
"2172","FuzzyClusters",67.49,59.84,"3"
"2173","FuzzyClusters",65.03,55.12,"3"
"2174","FuzzyClusters",77.88,77.81,"3"
"2175","FuzzyClusters",72.64,47.7,"3"
"2176","FuzzyClusters",64.63,63.82,"3"
"2177","FuzzyClusters",68.59,51.21,"3"
"2178","FuzzyClusters",71.66,70.74,"3"
"2179","FuzzyClusters",60.88,63.97,"3"
"2180","FuzzyClusters",63.88,56.14,"3"
"2181","FuzzyClusters",58.82,56.6,"3"
"2182","FuzzyClusters",56.18,68,"3"
"2183","FuzzyClusters",65.28,50.41,"3"
"2184","FuzzyClusters",69.83,53,"3"
"2185","FuzzyClusters",55.89,63.67,"3"
"2186","FuzzyClusters",74.21,66.75,"3"
"2187","FuzzyClusters",63.99,44.56,"3"
"2188","FuzzyClusters",72.8,61.73,"3"
"2189","FuzzyClusters",71.28,49.54,"3"
"2190","FuzzyClusters",66.63,54.22,"3"
"2191","FuzzyClusters",52.5,71.81,"3"
"2192","FuzzyClusters",55.62,69.01,"3"
"2193","FuzzyClusters",47.13,58.26,"3"
"2194","FuzzyClusters",82.26,51.6,"3"
"2195","FuzzyClusters",66.75,62.79,"3"
"2196","FuzzyClusters",87.43,74.25,"3"
"2197","FuzzyClusters",56.9,68.16,"3"
"2198","FuzzyClusters",83.34,63.61,"3"
"2199","FuzzyClusters",79.69,60.68,"3"
"2200","FuzzyClusters",63.18,69.54,"3"
"2201","FuzzyClusters",76.43,68.25,"3"
"2202","FuzzyClusters",75.23,67.28,"3"
"2203","FuzzyClusters",68.68,53.6,"3"
"2204","FuzzyClusters",83.56,35.79,"3"
"2205","FuzzyClusters",67.48,54.9,"3"
"2206","FuzzyClusters",88.25,71.69,"3"
"2207","FuzzyClusters",59.24,58.29,"3"
"2208","FuzzyClusters",81.81,54.26,"3"
"2209","FuzzyClusters",65.28,41.68,"3"
"2210","FuzzyClusters",73.19,54.56,"3"
"2211","FuzzyClusters",69.35,52.73,"3"
"2212","FuzzyClusters",68.8,54.54,"3"
"2213","FuzzyClusters",69.21,60.78,"3"
"2214","FuzzyClusters",78.26,57.89,"3"
"2215","FuzzyClusters",70.28,71.36,"3"
"2216","FuzzyClusters",82.23,45.93,"3"
"2217","FuzzyClusters",71.02,46.56,"3"
"2218","FuzzyClusters",71.57,50.13,"3"
"2219","FuzzyClusters",69.52,59.74,"3"
"2220","FuzzyClusters",66.18,79.56,"3"
"2221","FuzzyClusters",71.87,72.33,"3"
"2222","FuzzyClusters",78.94,56.59,"3"
"2223","FuzzyClusters",77.32,52.99,"3"
"2224","FuzzyClusters",78.96,71.38,"3"
"2225","FuzzyClusters",85.59,62.77,"3"
"2226","FuzzyClusters",73.21,56.23,"3"
"2227","FuzzyClusters",71.4,59.66,"3"
"2228","FuzzyClusters",83.98,70.69,"3"
"2229","FuzzyClusters",69.42,59.05,"3"
"2230","FuzzyClusters",60.93,61.82,"3"
"2231","FuzzyClusters",61.96,67.02,"3"
"2232","FuzzyClusters",64.11,55.12,"3"
"2233","FuzzyClusters",57.1,41.76,"3"
"2234","FuzzyClusters",82.76,59.8,"3"
"2235","FuzzyClusters",64.66,71,"3"
"2236","FuzzyClusters",80.07,58.44,"3"
"2237","FuzzyClusters",91.46,65.98,"3"
"2238","FuzzyClusters",66.37,55.07,"3"
"2239","FuzzyClusters",73.33,51.74,"3"
"2240","FuzzyClusters",64.82,63.93,"3"
"2241","FuzzyClusters",96.27,56.54,"3"
"2242","FuzzyClusters",60.29,67.58,"3"
"2243","FuzzyClusters",80.61,68.58,"3"
"2244","FuzzyClusters",77.83,56.3,"3"
"2245","FuzzyClusters",78.38,60.91,"3"
"2246","FuzzyClusters",79.22,68.29,"3"
"2247","FuzzyClusters",75.52,73.14,"3"
"2248","FuzzyClusters",75.47,56.43,"3"
"2249","FuzzyClusters",61.96,55.65,"3"
"2250","FuzzyClusters",74.07,57.15,"3"
"2251","FuzzyClusters",66.63,70.89,"3"
"2252","FuzzyClusters",95.56,53.22,"3"
"2253","FuzzyClusters",76.59,54.16,"3"
"2254","FuzzyClusters",77.56,57.71,"3"
"2255","FuzzyClusters",50.02,48.33,"3"
"2256","FuzzyClusters",58.05,56.18,"3"
"2257","FuzzyClusters",61.21,56.41,"3"
"2258","FuzzyClusters",64.72,60.54,"3"
"2259","FuzzyClusters",64.89,66.13,"3"
"2260","FuzzyClusters",75.79,74.12,"3"
"2261","FuzzyClusters",67.86,67.3,"3"
"2262","FuzzyClusters",67.31,48.56,"3"
"2263","FuzzyClusters",80.71,73.54,"3"
"2264","FuzzyClusters",51.02,67.26,"3"
"2265","FuzzyClusters",69.34,60.58,"3"
"2266","FuzzyClusters",77.77,72.1,"3"
"2267","FuzzyClusters",79.67,64.88,"3"
"2268","FuzzyClusters",68.15,58.61,"3"
"2269","FuzzyClusters",66.1,54.76,"3"
"2270","FuzzyClusters",68.36,67.98,"3"
"2271","FuzzyClusters",66.12,40.1,"3"
"2272","FuzzyClusters",66.18,58.61,"3"
"2273","FuzzyClusters",57.82,49.86,"3"
"2274","FuzzyClusters",68.23,41.82,"3"
"2275","FuzzyClusters",72.11,62,"3"
"2276","FuzzyClusters",64.99,58.85,"3"
"2277","FuzzyClusters",59.98,41.78,"3"
"2278","FuzzyClusters",55.32,57.48,"3"
"2279","FuzzyClusters",66.51,63.79,"3"
"2280","FuzzyClusters",85.5,65.79,"3"
"2281","FuzzyClusters",64.97,62.65,"3"
"2282","FuzzyClusters",64.27,66.47,"3"
"2283","FuzzyClusters",95.03,61.73,"3"
"2284","FuzzyClusters",52.38,63.31,"3"
"2285","FuzzyClusters",71.28,58.98,"3"
"2286","FuzzyClusters",75.98,50.67,"3"
"2287","FuzzyClusters",65.69,62.27,"3"
"2288","FuzzyClusters",80.65,68.3,"3"
"2289","FuzzyClusters",77.25,80.47,"3"
"2290","FuzzyClusters",70.48,56.03,"3"
"2291","FuzzyClusters",59.49,60.11,"3"
"2292","FuzzyClusters",72.91,40.86,"3"
"2293","FuzzyClusters",67.11,52.87,"3"
"2294","FuzzyClusters",62.03,71.6,"3"
"2295","FuzzyClusters",71.36,57.71,"3"
"2296","FuzzyClusters",75.21,65.12,"3"
"2297","FuzzyClusters",69.29,66.01,"3"
"2298","FuzzyClusters",77.64,51.45,"3"
"2299","FuzzyClusters",47.4,60.14,"3"
"2300","FuzzyClusters",76.65,62.09,"3"
"2301","FuzzyClusters",64.86,57.19,"3"
"2302","FuzzyClusters",72.58,61.85,"3"
"2303","FuzzyClusters",80.33,54.11,"3"
"2304","FuzzyClusters",71.26,49.62,"3"
"2305","FuzzyClusters",70.8,64.75,"3"
"2306","FuzzyClusters",46.33,72.55,"3"
"2307","FuzzyClusters",59.05,61.63,"3"
"2308","FuzzyClusters",76.74,59.38,"3"
"2309","FuzzyClusters",57.26,57.35,"3"
"2310","FuzzyClusters",68.99,72.73,"3"
"2311","FuzzyClusters",72.74,69.9,"3"
"2312","FuzzyClusters",66.81,72.64,"3"
"2313","FuzzyClusters",62.34,65.61,"3"
"2314","FuzzyClusters",56.85,62.47,"3"
"2315","FuzzyClusters",72.38,64.5,"3"
"2316","FuzzyClusters",52.83,62.37,"3"
"2317","FuzzyClusters",61.67,49.2,"3"
"2318","FuzzyClusters",69,79.37,"3"
"2319","FuzzyClusters",61.31,49.69,"3"
"2320","FuzzyClusters",68.53,68.57,"3"
"2321","FuzzyClusters",77.74,48.88,"3"
"2322","FuzzyClusters",70.16,51.96,"3"
"2323","FuzzyClusters",71.24,53.62,"3"
"2324","FuzzyClusters",84.39,49.22,"3"
"2325","FuzzyClusters",69,59.37,"3"
"2326","FuzzyClusters",72.57,52.36,"3"
"2327","FuzzyClusters",52.14,61.41,"3"
"2328","FuzzyClusters",70.28,78.16,"3"
"2329","FuzzyClusters",63.16,66.64,"3"
"2330","FuzzyClusters",58.98,44.78,"3"
"2331","FuzzyClusters",79.02,64.3,"3"
"2332","FuzzyClusters",69.81,60.67,"3"
"2333","FuzzyClusters",78.51,77.48,"3"
"2334","FuzzyClusters",61.82,64.55,"3"
"2335","FuzzyClusters",48.38,57.67,"3"
"2336","FuzzyClusters",71.47,48.64,"3"
"2337","FuzzyClusters",78.49,60.42,"3"
"2338","FuzzyClusters",92.9,70.71,"3"
"2339","FuzzyClusters",77.98,51.95,"3"
"2340","FuzzyClusters",79.54,53.11,"3"
"2341","FuzzyClusters",64.46,68.86,"3"
"2342","FuzzyClusters",73.18,68.25,"3"
"2343","FuzzyClusters",65.72,57.39,"3"
"2344","FuzzyClusters",73.8,55.61,"3"
"2345","FuzzyClusters",59.35,57.55,"3"
"2346","FuzzyClusters",66.55,69.96,"3"
"2347","FuzzyClusters",56.86,60.53,"3"
"2348","FuzzyClusters",70.41,62.33,"3"
"2349","FuzzyClusters",74.07,74.68,"3"
"2350","FuzzyClusters",70.52,67.82,"3"
"2351","FuzzyClusters",64.25,70.95,"3"
"2352","FuzzyClusters",67.85,75.48,"3"
"2353","FuzzyClusters",55.21,57.19,"3"
"2354","FuzzyClusters",68,59.08,"3"
"2355","FuzzyClusters",54.02,61.5,"3"
"2356","FuzzyClusters",69.86,64.11,"3"
"2357","FuzzyClusters",85.76,55.49,"3"
"2358","FuzzyClusters",76.34,62.04,"3"
"2359","FuzzyClusters",83.33,53.62,"3"
"2360","FuzzyClusters",82.18,63.18,"3"
"2361","FuzzyClusters",67.03,51.48,"3"
"2362","FuzzyClusters",73.27,57.91,"3"
"2363","FuzzyClusters",53.55,72.52,"3"
"2364","FuzzyClusters",78.04,56.9,"3"
"2365","FuzzyClusters",63.53,53.72,"3"
"2366","FuzzyClusters",78.46,65.27,"3"
"2367","FuzzyClusters",53.16,33.04,"3"
"2368","FuzzyClusters",80.32,60.92,"3"
"2369","FuzzyClusters",65.47,61.86,"3"
